```
Duration,Pulse,Maxpulse,Calories,WorkoutLength,HeartRateZone,CalorieBurn,EfficiencyRatio,EfficiencyCategory,WorkoutIntensity
60,103,132,,Medium,Moderate,Unknown,,Unknown,Moderate
60,100,132,280.0,Medium,Moderate,Medium,4.666666666666667,Medium,Moderate
60,102,129,380.3,Medium,Moderate,Medium,6.338333333333333,Medium,Moderate
60,92,115,243.0,Medium,Low,Medium,4.05,Medium,Moderate
45,90,112,180.1,Medium,Low,Low,4.0022222222222225,Medium,Moderate
60,101,124,299.0,Medium,Moderate,Medium,4.983333333333333,Medium,Moderate
60,93,113,223.0,Medium,Low,Medium,3.7166666666666663,Low,Moderate
60,107,136,361.0,Medium,Moderate,Medium,6.016666666666667,Medium,Moderate
60,114,140,415.0,Medium,Moderate,High,6.916666666666667,Medium,Moderate
60,102,127,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
60,100,120,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
60,100,120,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
45,104,129,266.0,Medium,Moderate,Medium,5.911111111111111,Medium,Moderate
45,90,112,180.1,Medium,Low,Low,4.0022222222222225,Medium,Moderate
60,98,126,286.0,Medium,Low,Medium,4.766666666666667,Medium,Moderate
60,100,122,329.4,Medium,Moderate,Medium,5.49,Medium,Moderate
60,111,138,400.0,Medium,Moderate,High,6.666666666666667,Medium,Moderate
60,111,131,397.0,Medium,Moderate,Medium,6.616666666666666,Medium,Moderate
60,99,119,273.0,Medium,Low,Medium,4.55,Medium,Moderate
60,109,153,387.6,Medium,Moderate,Medium,6.46,Medium,Moderate
45,111,136,300.0,Medium,Moderate,Medium,6.666666666666667,Medium,Moderate
45,108,129,298.0,Medium,Moderate,Medium,6.622222222222222,Medium,Moderate
60,111,139,397.6,Medium,Moderate,Medium,6.626666666666667,Medium,Moderate
60,107,136,380.2,Medium,Moderate,Medium,6.336666666666667,Medium,Moderate
80,123,146,643.1,Long,High,High,8.03875,High,Intense
60,106,130,263.0,Medium,Moderate,Medium,4.383333333333334,Medium,Moderate
60,118,151,486.0,Medium,Moderate,High,8.1,High,Moderate
30,136,175,238.0,Short,High,Medium,7.933333333333334,High,Intense
60,121,146,450.7,Medium,High,High,7.511666666666667,High,Moderate
60,118,121,413.0,Medium,Moderate,High,6.883333333333334,Medium,Moderate
45,115,144,305.0,Medium,Moderate,Medium,6.777777777777778,Medium,Moderate
20,153,172,226.4,Short,High,Medium,11.32,High,Intense
45,123,152,321.0,Medium,High,Medium,7.133333333333334,High,Moderate
210,108,160,1376.0,Long,Moderate,High,6.552380952380952,Medium,Intense
160,110,137,1034.4,Long,Moderate,High,6.465,Medium,Intense
160,109,135,853.0,Long,Moderate,High,5.33125,Medium,Intense
45,118,141,341.0,Medium,Moderate,Medium,7.577777777777778,High,Moderate
20,110,130,131.4,Short,Moderate,Low,6.57,Medium,Moderate
180,90,130,800.4,Long,Low,High,4.446666666666666,Medium,Intense
150,105,135,873.4,Long,Moderate,High,5.822666666666667,Medium,Intense
150,107,130,816.0,Long,Moderate,High,5.44,Medium,Intense
20,106,136,110.4,Short,Moderate,Low,5.52,Medium,Moderate
300,108,143,1500.2,Long,Moderate,High,5.000666666666667,Medium,Intense
150,97,129,1115.0,Long,Low,High,7.433333333333334,High,Intense
60,109,153,387.6,Medium,Moderate,Medium,6.46,Medium,Moderate
90,100,127,700.0,Long,Moderate,High,7.777777777777778,High,Moderate
150,97,127,953.2,Long,Low,High,6.354666666666667,Medium,Intense
45,114,146,304.0,Medium,Moderate,Medium,6.755555555555556,Medium,Moderate
90,98,125,563.2,Long,Low,High,6.257777777777778,Medium,Moderate
45,105,134,251.0,Medium,Moderate,Medium,5.577777777777778,Medium,Moderate
45,110,141,300.0,Medium,Moderate,Medium,6.666666666666667,Medium,Moderate
120,100,130,500.4,Long,Moderate,High,4.17,Medium,Intense
270,100,131,1729.0,Long,Moderate,High,6.403703703703703,Medium,Intense
30,159,182,319.2,Short,High,Medium,10.64,High,Intense
45,149,169,344.0,Medium,High,Medium,7.644444444444445,High,Intense
30,103,139,151.1,Short,Moderate,Low,5.036666666666667,Medium,Moderate
120,100,130,500.0,Long,Moderate,High,4.166666666666667,Medium,Intense
45,100,120,225.3,Medium,Moderate,Medium,5.006666666666667,Medium,Moderate
30,151,170,300.0,Short,High,Medium,10.0,High,Intense
45,102,136,234.0,Medium,Moderate,Medium,5.2,Medium,Moderate
120,100,157,1000.1,Long,Moderate,High,8.334166666666667,High,Intense
45,129,103,242.0,Medium,High,Medium,5.377777777777778,Medium,Intense
20,83,107,50.3,Short,Low,Low,2.515,Low,Light
180,101,127,600.1,Long,Moderate,High,3.3338888888888888,Low,Intense
45,107,137,,Medium,Moderate,Unknown,,Unknown,Moderate
30,90,107,105.3,Short,Low,Low,3.51,Low,Light
15,80,100,50.5,Short,Low,Low,3.3666666666666667,Low,Light
20,150,171,127.4,Short,High,Low,6.37,Medium,Intense
20,151,168,229.4,Short,High,Medium,11.47,High,Intense
30,95,128,128.2,Short,Low,Low,4.273333333333333,Medium,Light
25,152,168,244.2,Short,High,Medium,9.768,High,Intense
30,109,131,188.2,Short,Moderate,Low,6.273333333333333,Medium,Moderate
90,93,124,604.1,Long,Low,High,6.712222222222222,Medium,Moderate
20,95,112,77.7,Short,Low,Low,3.885,Low,Light
90,90,110,500.0,Long,Low,High,5.555555555555555,Medium,Moderate
90,90,100,500.0,Long,Low,High,5.555555555555555,Medium,Moderate
90,90,100,500.4,Long,Low,High,5.56,Medium,Moderate
30,92,108,92.7,Short,Low,Low,3.09,Low,Light
30,93,128,124.0,Short,Low,Low,4.133333333333334,Medium,Light
180,90,120,800.3,Long,Low,High,4.446111111111111,Medium,Intense
30,90,120,86.2,Short,Low,Low,2.873333333333333,Low,Light
90,90,120,500.3,Long,Low,High,5.558888888888889,Medium,Moderate
210,137,184,1860.4,Long,High,High,8.859047619047618,High,Intense
60,102,124,325.2,Medium,Moderate,Medium,5.42,Medium,Moderate
45,107,124,275.0,Medium,Moderate,Medium,6.111111111111111,Medium,Moderate
15,124,139,124.2,Short,High,Low,8.28,High,Moderate
45,100,120,225.3,Medium,Moderate,Medium,5.006666666666667,Medium,Moderate
60,108,131,367.6,Medium,Moderate,Medium,6.126666666666667,Medium,Moderate
60,108,151,351.7,Medium,Moderate,Medium,5.861666666666667,Medium,Moderate
60,116,141,443.0,Medium,Moderate,High,7.383333333333334,High,Moderate
60,97,122,277.4,Medium,Low,Medium,4.623333333333333,Medium,Moderate
60,105,125,,Medium,Moderate,Unknown,,Unknown,Moderate
60,103,124,332.7,Medium,Moderate,Medium,5.545,Medium,Moderate
30,112,137,193.9,Short,Moderate,Low,6.463333333333333,Medium,Moderate
45,100,120,100.7,Medium,Moderate,Low,2.2377777777777776,Low,Moderate
60,119,169,336.7,Medium,Moderate,Medium,5.611666666666667,Medium,Moderate
60,107,127,344.9,Medium,Moderate,Medium,5.748333333333333,Medium,Moderate
60,111,151,368.5,Medium,Moderate,Medium,6.141666666666667,Medium,Moderate
60,98,122,271.0,Medium,Low,Medium,4.516666666666667,Medium,Moderate
60,97,124,275.3,Medium,Low,Medium,4.588333333333333,Medium,Moderate
60,109,127,382.0,Medium,Moderate,Medium,6.366666666666667,Medium,Moderate
90,99,125,466.4,Long,Low,High,5.182222222222222,Medium,Moderate
60,114,151,384.0,Medium,Moderate,Medium,6.4,Medium,Moderate
60,104,134,342.5,Medium,Moderate,Medium,5.708333333333333,Medium,Moderate
60,107,138,357.5,Medium,Moderate,Medium,5.958333333333333,Medium,Moderate
60,103,133,335.0,Medium,Moderate,Medium,5.583333333333333,Medium,Moderate
60,106,132,327.5,Medium,Moderate,Medium,5.458333333333333,Medium,Moderate
60,103,136,339.0,Medium,Moderate,Medium,5.65,Medium,Moderate
20,136,156,189.0,Short,High,Low,9.45,High,Intense
45,117,143,317.7,Medium,Moderate,Medium,7.06,High,Moderate
45,115,137,318.0,Medium,Moderate,Medium,7.066666666666666,High,Moderate
45,113,138,308.0,Medium,Moderate,Medium,6.844444444444445,Medium,Moderate
20,141,162,222.4,Short,High,Medium,11.12,High,Intense
60,108,135,390.0,Medium,Moderate,Medium,6.5,Medium,Moderate
60,97,127,,Medium,Low,Unknown,,Unknown,Moderate
45,100,120,250.4,Medium,Moderate,Medium,5.564444444444444,Medium,Moderate
45,122,149,335.4,Medium,High,Medium,7.453333333333333,High,Moderate
60,136,170,470.2,Medium,High,High,7.836666666666667,High,Intense
45,106,126,270.8,Medium,Moderate,Medium,6.017777777777778,Medium,Moderate
60,107,136,400.0,Medium,Moderate,High,6.666666666666667,Medium,Moderate
60,112,146,361.9,Medium,Moderate,Medium,6.031666666666666,Medium,Moderate
30,103,127,185.0,Short,Moderate,Low,6.166666666666667,Medium,Moderate
60,110,150,409.4,Medium,Moderate,High,6.823333333333333,Medium,Moderate
60,106,134,343.0,Medium,Moderate,Medium,5.716666666666667,Medium,Moderate
60,109,129,353.2,Medium,Moderate,Medium,5.886666666666667,Medium,Moderate
60,109,138,374.0,Medium,Moderate,Medium,6.233333333333333,Medium,Moderate
30,150,167,275.8,Short,High,Medium,9.193333333333333,High,Intense
60,105,128,328.0,Medium,Moderate,Medium,5.466666666666667,Medium,Moderate
60,111,151,368.5,Medium,Moderate,Medium,6.141666666666667,Medium,Moderate
60,97,131,270.4,Medium,Low,Medium,4.506666666666667,Medium,Moderate
60,100,120,270.4,Medium,Moderate,Medium,4.506666666666667,Medium,Moderate
60,114,150,382.8,Medium,Moderate,Medium,6.38,Medium,Moderate
30,80,120,240.9,Short,Low,Medium,8.03,High,Light
30,85,120,250.4,Short,Low,Medium,8.346666666666666,High,Light
45,90,130,260.4,Medium,Low,Medium,5.786666666666667,Medium,Moderate
45,95,130,270.0,Medium,Low,Medium,6.0,Medium,Moderate
45,100,140,280.9,Medium,Moderate,Medium,6.242222222222222,Medium,Moderate
60,105,140,290.8,Medium,Moderate,Medium,4.846666666666667,Medium,Moderate
60,110,145,300.0,Medium,Moderate,Medium,5.0,Medium,Moderate
60,115,145,310.2,Medium,Moderate,Medium,5.17,Medium,Moderate
75,120,150,320.4,Long,High,Medium,4.272,Medium,Intense
75,125,150,330.4,Long,High,Medium,4.405333333333334,Medium,Intense
```
